scuola_id,fascia_id,nome,ora_inizio,ora_fine,tipo_giornata
1,1,8-10,08:00,10:00,mattina
1,2,9-11,09:00,11:00,mattina
1,3,10-12,10:00,12:00,mattina
2,1,8-10,08:00,10:00,mattina
2,2,9-11,09:00,11:00,mattina
2,3,10-12,10:00,12:00,mattina
3,1,8-10,08:00,10:00,mattina
3,2,9-11,09:00,11:00,mattina
3,3,10-12,10:00,12:00,mattina
4,1,8-10,08:00,10:00,mattina
4,2,9-11,09:00,11:00,mattina
4,3,10-12,10:00,12:00,mattina
5,1,8-10,08:00,10:00,mattina
5,2,9-11,09:00,11:00,mattina
5,3,10-12,10:00,12:00,mattina
6,1,8-10,08:00,10:00,mattina
6,2,9-11,09:00,11:00,mattina
6,3,10-12,10:00,12:00,mattina
7,1,8-10,08:00,10:00,mattina
7,2,9-11,09:00,11:00,mattina
7,3,10-12,10:00,12:00,mattina
8,1,8-10,08:00,10:00,mattina
8,2,9-11,09:00,11:00,mattina
8,3,10-12,10:00,12:00,mattina
9,1,8-10,08:00,10:00,mattina
9,2,9-11,09:00,11:00,mattina
9,3,10-12,10:00,12:00,mattina
10,1,8-10,08:00,10:00,mattina
10,2,9-11,09:00,11:00,mattina
10,3,10-12,10:00,12:00,mattina
11,1,8-10,08:00,10:00,mattina
11,2,9-11,09:00,11:00,mattina
11,3,10-12,10:00,12:00,mattina
12,1,8-10,08:00,10:00,mattina
12,2,9-11,09:00,11:00,mattina
12,3,10-12,10:00,12:00,mattina
13,1,8-10,08:00,10:00,mattina
13,2,9-11,09:00,11:00,mattina
13,3,10-12,10:00,12:00,mattina
